"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1331","Guest can add product to basket","tests","Tue Dec 30 20:07:23 UTC 2025","passed","Tue Dec 30 20:07:25 UTC 2025","TestProductPage","test_product_page","",""
"","1243","Guest can add product to basket","tests","Tue Dec 30 20:07:20 UTC 2025","passed","Tue Dec 30 20:07:21 UTC 2025","TestProductPage","test_product_page","",""
"","1700","Guest can add product to basket","tests","Tue Dec 30 20:07:25 UTC 2025","passed","Tue Dec 30 20:07:27 UTC 2025","TestProductPage","test_product_page","",""
"","1990","Guest can add product to basket","tests","Tue Dec 30 20:07:25 UTC 2025","passed","Tue Dec 30 20:07:27 UTC 2025","TestProductPage","test_product_page","",""
"","2042","Guest can add product to basket","tests","Tue Dec 30 20:07:18 UTC 2025","passed","Tue Dec 30 20:07:20 UTC 2025","TestProductPage","test_product_page","",""
"","6362","Guest see no products in empty basket opened from Product page","tests","Tue Dec 30 20:07:26 UTC 2025","passed","Tue Dec 30 20:07:32 UTC 2025","TestProductPage","test_product_page","",""
"","1170","Guest can add product to basket","tests","Tue Dec 30 20:07:20 UTC 2025","passed","Tue Dec 30 20:07:22 UTC 2025","TestProductPage","test_product_page","",""
"","426","Guest can add product to basket","tests","Tue Dec 30 20:07:24 UTC 2025","skipped","Tue Dec 30 20:07:24 UTC 2025","TestProductPage","test_product_page","",""
"","5804","Guest see no messages on Product page","tests","Tue Dec 30 20:07:20 UTC 2025","passed","Tue Dec 30 20:07:25 UTC 2025","TestProductPage","test_product_page","",""
"","6606","Empty basket opened from Main page has no products","tests","Tue Dec 30 20:07:18 UTC 2025","passed","Tue Dec 30 20:07:24 UTC 2025","TestMainPage","test_main_page","",""
"","1740","Guest can add product to basket","tests","Tue Dec 30 20:07:26 UTC 2025","passed","Tue Dec 30 20:07:28 UTC 2025","TestProductPage","test_product_page","",""
"","1584","Guest can go to login page from Main page","tests","Tue Dec 30 20:07:18 UTC 2025","passed","Tue Dec 30 20:07:19 UTC 2025","TestProductPage","test_product_page","",""
"","671","Guest should see login link on Product page","tests","Tue Dec 30 20:07:25 UTC 2025","passed","Tue Dec 30 20:07:25 UTC 2025","TestProductPage","test_product_page","",""
"","1568","Guest can add product to basket","tests","Tue Dec 30 20:07:22 UTC 2025","passed","Tue Dec 30 20:07:24 UTC 2025","TestProductPage","test_product_page","",""
"","840","Guest can go to login page from Main page","tests","Tue Dec 30 20:07:19 UTC 2025","passed","Tue Dec 30 20:07:20 UTC 2025","TestMainPage","test_main_page","",""
"","1148","Guest should see login link on Main page","tests","Tue Dec 30 20:07:18 UTC 2025","passed","Tue Dec 30 20:07:19 UTC 2025","TestMainPage","test_main_page","",""
"","1184","Guest can add product to basket","tests","Tue Dec 30 20:07:22 UTC 2025","passed","Tue Dec 30 20:07:23 UTC 2025","TestProductPage","test_product_page","",""
